Ссылка,Метро,Время до метро,Количество комнат,Общая площадь,Жилая площадь,Этаж,Этажность дома,Срок сдачи,Тип жилья,Высота потолков,Ванная,Вид из окна,Цена
https://www.cian.ru/sale/flat/256076857/,Тверская,7.0,,288.8,231.0,10,11,,Вторичка Пентхаус,,"2 совмещенных, 1 раздельный",,381794670
https://www.cian.ru/sale/flat/214334105/,,,3.0,183.4,,2,4,2003.0,Вторичка Апартаменты,3.4,2 раздельных,,88000000
https://www.cian.ru/sale/flat/239000557/,Парк Культуры,6.0,4.0,317.0,63.0,5,6,2003.0,Вторичка Пентхаус,3.3,3 раздельных,На улицу,370686500
https://www.cian.ru/sale/flat/253902838/,Филатов Луг,13.0,1.0,32.6,9.3,4,9,2022.0,Новостройка,2.8,1 совмещенный,Во двор,6285280
https://www.cian.ru/sale/flat/254032037/,,,1.0,38.8,20.7,2,14,1990.0,Вторичка,2.64,1 раздельный,На улицу,6650000
https://www.cian.ru/sale/flat/250497642/,Гражданская,10.0,3.0,98.0,54.0,4,5,1956.0,Вторичка,,1 совмещенный,На улицу и двор,23650000
https://www.cian.ru/sale/flat/234838144/,Киевская,14.0,,443.8,300.0,7,7,2009.0,Вторичка,,,,817489764
https://www.cian.ru/sale/flat/256477741/,Кунцевская,10.0,3.0,64.5,46.0,16,16,1983.0,Вторичка,2.48,1 раздельный,Во двор,13200000
https://www.cian.ru/sale/flat/255823897/,,,1.0,40.4,,3,4,,Вторичка,,,,5300000
https://www.cian.ru/sale/flat/256472448/,Люблино,11.0,1.0,53.0,22.0,5,14,2000.0,Вторичка,2.6,1 раздельный,Во двор,12650000
https://www.cian.ru/sale/flat/248836444/,Текстильщики,4.0,2.0,49.0,29.0,1,4,,Вторичка,3.0,1 раздельный,Во двор,10700000
https://www.cian.ru/sale/flat/234999332/,Полянка,5.0,3.0,272.2,,4,6,2004.0,Вторичка,,"2 совмещенных, 1 раздельный",На улицу и двор,400934518
https://www.cian.ru/sale/flat/255822134/,Парк Культуры,,5.0,245.6,,7,7,,Вторичка,,,На улицу и двор,636324450
https://www.cian.ru/sale/flat/255580006/,,,1.0,35.5,16.5,1,3,2017.0,Вторичка,,2 совмещенных,Во двор,5750000
https://www.cian.ru/sale/flat/204769731/,Трубная,,4.0,220.0,94.0,6,6,,Вторичка,,3 раздельных,,187000000
https://www.cian.ru/sale/flat/256377811/,Новые Черемушки,3.0,1.0,33.0,21.0,2,5,1960.0,Вторичка,2.64,1 совмещенный,Во двор,8500000
https://www.cian.ru/sale/flat/252772333/,Кузьминки,2.0,3.0,55.0,40.5,5,5,,Вторичка,,1 совмещенный,Во двор,12000000
https://www.cian.ru/sale/flat/239507590/,Фрунзенская,12.0,5.0,241.8,134.0,3,6,2019.0,Вторичка,4.5,4 совмещенных,На улицу и двор,350000000
https://www.cian.ru/sale/flat/216117716/,Университет,4.0,,454.0,223.0,13,14,,Вторичка Пентхаус,,"4 совмещенных, 2 раздельных",Во двор,178000000
https://www.cian.ru/sale/flat/254125804/,Выставочная,3.0,2.0,45.0,,59,77,2018.0,Вторичка Апартаменты,3.2,1 раздельный,,28000000
https://www.cian.ru/sale/flat/255454784/,Фрунзенская,5.0,1.0,34.0,18.0,7,9,1963.0,Вторичка,,1 совмещенный,,15500000
https://www.cian.ru/sale/flat/256318785/,Выставочная,3.0,2.0,79.0,45.0,30,68,,Вторичка Апартаменты,,,Во двор,38000000
https://www.cian.ru/sale/flat/239611818/,Фрунзенская,8.0,5.0,281.8,,4,20,2002.0,Вторичка,3.2,4 совмещенных,Во двор,314419140
https://www.cian.ru/sale/flat/247753949/,Нагатинская,16.0,2.0,80.0,,18,33,2012.0,Вторичка,2.8,2 раздельных,Во двор,22000000
https://www.cian.ru/sale/flat/255351134/,Щелковская,13.0,2.0,37.8,22.8,5,9,1964.0,Вторичка,2.5,1 совмещенный,На улицу и двор,9000000
https://www.cian.ru/sale/flat/256005225/,Авиамоторная,20.0,1.0,12.3,8.8,3,4,,Вторичка Апартаменты,,1 совмещенный,На улицу,3936000
https://www.cian.ru/sale/flat/253580899/,Щелковская,29.0,2.0,45.7,30.0,3,12,1966.0,Вторичка,2.64,1 раздельный,На улицу,9800000
https://www.cian.ru/sale/flat/229471793/,Выставочная,4.0,3.0,134.6,,75,77,2019.0,Новостройка Апартаменты,,,,88836000
https://www.cian.ru/sale/flat/223054838/,Университет,1.0,4.0,140.0,103.0,3,19,2013.0,Вторичка,3.2,"2 совмещенных, 1 раздельный",Во двор,74137300
https://www.cian.ru/sale/flat/212105814/,Белорусская,2.0,1.0,42.1,22.6,6,14,1967.0,Вторичка,,1 раздельный,Во двор,18000000
https://www.cian.ru/sale/flat/255851662/,Некрасовка,14.0,1.0,35.4,15.6,3,17,2020.0,Вторичка,2.8,1 совмещенный,Во двор,7150000
https://www.cian.ru/sale/flat/256012231/,Смоленская,4.0,3.0,133.0,69.0,2,13,2000.0,Вторичка,3.2,2 совмещенных,Во двор,129000000
https://www.cian.ru/sale/flat/239361098/,Кропоткинская,,,450.0,,6,6,2004.0,Вторичка Пентхаус,6.5,4 совмещенных,На улицу и двор,856417848
https://www.cian.ru/sale/flat/255691398/,Лесопарковая,1.0,2.0,60.9,,22,26,2022.0,Новостройка,,1 раздельный,На улицу,10900000
https://www.cian.ru/sale/flat/253797591/,Тульская,1.0,1.0,35.1,20.0,9,12,2020.0,Вторичка Апартаменты,3.1,1 раздельный,На улицу и двор,14000000
https://www.cian.ru/sale/flat/239418684/,Фрунзенская,6.0,5.0,340.0,134.0,3,5,,Вторичка,4.5,4 раздельных,На улицу и двор,300000000
https://www.cian.ru/sale/flat/254989858/,Парк Победы,2.0,3.0,77.0,49.8,12,12,1958.0,Вторичка,3.0,1 раздельный,На улицу и двор,24500000
https://www.cian.ru/sale/flat/246753015/,Полянка,7.0,3.0,164.0,99.0,3,15,,Вторичка,3.25,2 раздельных,Во двор,259480549
https://www.cian.ru/sale/flat/170864180/,,,1.0,38.9,20.6,1,12,1983.0,Вторичка,2.64,1 раздельный,Во двор,6100000
https://www.cian.ru/sale/flat/254998133/,Чертановская,1.0,2.0,63.5,35.0,24,25,2013.0,Вторичка,2.8,1 раздельный,На улицу и двор,19100000
https://www.cian.ru/sale/flat/243807387/,Москворечье,2.0,4.0,101.0,64.0,10,22,,Вторичка,,1 раздельный,На улицу и двор,18999999
https://www.cian.ru/sale/flat/239665654/,Парк Культуры,8.0,5.0,208.0,106.0,3,6,,Вторичка,,3 совмещенных,На улицу,311424672
https://www.cian.ru/sale/flat/194799118/,Ломоносовский проспект,17.0,3.0,192.0,50.0,10,16,2006.0,Вторичка,3.0,"2 совмещенных, 1 раздельный",На улицу и двор,69000000
https://www.cian.ru/sale/flat/256473728/,Владыкино,2.0,2.0,57.0,,12,18,2021.0,Новостройка Апартаменты,,,На улицу и двор,9200000
https://www.cian.ru/sale/flat/256399577/,Раменки,10.0,2.0,63.0,32.0,18,18,,Вторичка,3.2,1 совмещенный,Во двор,21000000
https://www.cian.ru/sale/flat/256458474/,Александровский сад,3.0,4.0,152.0,99.0,5,6,1911.0,Вторичка,3.6,,На улицу и двор,69970000
https://www.cian.ru/sale/flat/231757288/,Теплый Стан,48.0,1.0,38.5,20.0,2,3,2015.0,Вторичка,2.8,1 совмещенный,На улицу и двор,7000000
https://www.cian.ru/sale/flat/256428076/,Лесопарковая,9.0,2.0,60.0,33.0,10,23,2020.0,Вторичка,2.9,1 раздельный,Во двор,17500000
https://www.cian.ru/sale/flat/252190700/,Щербинка,5.0,1.0,35.58,12.5,1,14,2021.0,Новостройка,2.8,1 совмещенный,Во двор,6522419
https://www.cian.ru/sale/flat/253636153/,Медведково,1.0,3.0,49.1,33.7,5,9,1967.0,Вторичка,2.64,1 раздельный,Во двор,12300000
https://www.cian.ru/sale/flat/256455941/,Третьяковская,4.0,3.0,431.0,,1,4,2019.0,Новостройка,,,,555600000
https://www.cian.ru/sale/flat/243788262/,Бауманская,15.0,5.0,149.5,,4,6,,Вторичка,,,,48189245
https://www.cian.ru/sale/flat/176613745/,Кропоткинская,6.0,5.0,255.6,205.0,8,10,,Вторичка,3.4,3 раздельных,На улицу,298000000
https://www.cian.ru/sale/flat/256450676/,Войковская,9.0,3.0,156.0,60.0,2,3,2015.0,Вторичка Апартаменты,,2 раздельных,На улицу и двор,89500000
https://www.cian.ru/sale/flat/240703241/,Филатов Луг,8.0,1.0,25.8,17.3,5,9,2020.0,Вторичка Апартаменты,,1 совмещенный,Во двор,4270000
https://www.cian.ru/sale/flat/220325512/,Пушкинская,11.0,4.0,146.5,,3,9,1965.0,Вторичка,3.2,2 совмещенных,Во двор,199000000
https://www.cian.ru/sale/flat/255672964/,,,2.0,58.4,27.5,3,3,2019.0,Вторичка,2.8,1 раздельный,Во двор,6650000
https://www.cian.ru/sale/flat/254983464/,Домодедовская,2.0,2.0,45.0,32.0,11,12,1974.0,Вторичка,2.64,1 раздельный,На улицу,11500000
https://www.cian.ru/sale/flat/251951831/,Стахановская,1.0,3.0,82.47,38.0,8,15,2022.0,Новостройка,2.85,,,20560596
https://www.cian.ru/sale/flat/241693993/,Печатники,1.0,2.0,52.0,35.0,5,9,,Вторичка,,1 раздельный,,16200000
https://www.cian.ru/sale/flat/256429681/,,,2.0,44.8,30.0,5,9,1973.0,Вторичка,2.64,1 раздельный,Во двор,9000000
https://www.cian.ru/sale/flat/254835201/,Силикатная,4.0,1.0,33.1,16.8,13,13,2022.0,Новостройка,2.8,1 совмещенный,,5439985
https://www.cian.ru/sale/flat/192424431/,Юго-Западная,,,440.0,400.0,38,38,,Вторичка Пентхаус,5.5,,,70000000
https://www.cian.ru/sale/flat/256472110/,Аннино,4.0,3.0,82.3,44.5,17,20,2011.0,Вторичка,2.64,1 раздельный,Во двор,20500000
https://www.cian.ru/sale/flat/255550020/,Фрунзенская,6.0,4.0,250.0,,4,14,2003.0,Вторичка,,,,239557440
